,hour,route_id,boardings,alightings
41,14,55,27350,25345
44,15,55,21788,22624
47,16,55,15741,17347
38,13,55,16008,13723
43,15,46,12390,12482
32,11,55,12216,12096
46,16,46,11576,11405
29,10,55,11817,11257
50,17,55,9723,11011
35,12,55,10912,10845
40,14,46,11239,10745
49,17,46,9716,9840
20,7,55,8958,9793
37,13,46,8678,8298
17,6,55,8497,8273
34,12,46,7421,7050
52,18,46,6748,6817
31,11,46,5876,6807
26,9,55,7545,6494
28,10,46,6695,6479
23,8,55,5545,5986
53,18,55,4889,5446
55,19,46,4808,4912
22,8,46,4745,4903
25,9,46,4719,4702
14,5,55,5044,4245
19,7,46,4146,4024
58,20,46,4303,3977
59,20,55,2874,3058
64,22,46,2969,2865
16,6,46,2523,2852
61,21,46,2914,2829
15,5,100,2511,2774
56,19,55,1703,2195
48,16,100,1802,2026
68,23,55,1659,1826
45,15,100,2185,1794
42,14,100,1200,1594
18,6,100,1483,1485
27,9,100,1697,1398
13,5,46,1854,1377
39,13,100,1666,1347
67,23,46,1493,1337
62,21,55,850,1217
51,17,100,778,1209
21,7,100,833,980
11,4,55,1579,927
24,8,100,701,806
57,19,100,1159,763
30,10,100,143,757
1,0,55,393,535
60,20,100,145,373
65,22,55,748,337
69,23,100,407,317
0,0,46,111,261
12,4,100,300,185
54,18,100,173,165
36,12,100,308,94
66,22,100,152,81
33,11,100,71,79
63,21,100,55,49
8,2,100,10,46
3,1,46,37,37
2,0,100,68,34
6,2,46,19,21
10,4,46,17,14
5,1,100,17,11
4,1,55,3,3
9,3,55,0,0
7,2,55,0,0
